ranking,title,price,rating,category,extracted_at
2,"BrandFlex Foldable Cloth Drying Stand Stainless Steel – 3 Tier Heavy-Duty Clothes Dryer for Balcony, Indoor & Outdoor Use |…",Price Not Available,No Rating Available,Hot New Releases in Home & Kitchen,20250905_105100
5,"Humicure Moisture Absorber Dehumidifier | 500ml Absorption Capacity | Prevents Mold, Dampness & Odor in Wardrobe,…",Price Not Available,No Rating Available,Hot New Releases in Home & Kitchen,20250905_105100
